Ensembl.Gene.ID	Enhancer.grp	AE_nth	Fisher.P.value	Odds.ratio	q_fdr	homologene	homolo_enhancer
ENSG00000101294	chr20_159	1	3.34790355466255e-05	26.6	0.0290920763527154	1	1
ENSG00000110080	chr11_1460	2	4.11353352529824e-05	72	0.0290920763527154	1	1
ENSG00000181904	chr5_299	0	5.48824259596955e-05	36	0.0290920763527154	1	1
ENSG00000152601	chr3_469	8	6.73038093956119e-05	54	0.0300991988007563	1	1
ENSG00000115694	chr2_631	4	6.87994496044036e-05	78	0.0300991988007563	1	1
ENSG00000010256	chr3_339	0	0.000107686095032979	43.3333333333333	0.0339775269375485	1	1
ENSG00000160789	chr1_775	3	0.000107242333652348	110	0.0339775269375485	1	1
ENSG00000122203	chr5_1239	7	0.00010351966873706	33.75	0.0339775269375485	1	1
ENSG00000196998	chrX_161	9	0.000103611558719918	50	0.0339775269375485	1	1
ENSG00000129925	chr16_194	1	0.000103611558719918	50	0.0339775269375485	1	1
ENSG00000065357	chr12_364	2	0.00011907597046916	90	0.0350665502368291	1	1
ENSG00000162910	chr1_942	8	0.00012563045019652	30.3333333333333	0.0354224409788145	1	1
ENSG00000006327	chr16_729	0	0.000158767960625546	77	0.0362757416243058	1	1
ENSG00000172663	chr11_437	1	0.00015255530129672	31.5	0.0362757416243058	1	1
ENSG00000165272	chr9_3	0	0.000158767960625546	77	0.0362757416243058	1	1
ENSG00000139436	chr12_454	5	0.000155410614422594	104	0.0362757416243058	1	1
ENSG00000072803	chr5_1322	0	0.000136652104055499	34.6666666666667	0.0362757416243058	1	1
ENSG00000174516	chr11_416	1	0.000199800199800199	54	0.0392187998347442	1	1
ENSG00000126456	chr19_709	9	0.000199900049975012	27	0.0392187998347442	1	1
ENSG00000146223	chr6_1000	1	0.000257997936016512	60	0.039470154273604	1	1
ENSG00000146223	chr6_988	1	0.000257997936016512	60	0.039470154273604	1	1
ENSG00000161800	chr12_333	10	0.000238928523354422	58.5	0.039470154273604	1	1
ENSG00000133895	chr11_376	0	0.000212680037690133	60	0.039470154273604	1	1
ENSG00000011422	chr19_1563	0	0.000221141088014154	45	0.039470154273604	1	1
ENSG00000163521	chr2_594	1	0.000251382604323781	70	0.039470154273604	1	1
ENSG00000112096	chr6_446	0	0.000229709706550235	39	0.039470154273604	1	1
ENSG00000156853	chr16_585	0	0.000221141088014154	45	0.039470154273604	1	1
ENSG00000196998	chrX_161	8	0.000221141088014154	45	0.039470154273604	1	1
ENSG00000158796	chr1_845	0	0.00028550241008528	24	0.0403321793086528	1	1
ENSG00000165516	chr14_228	2	0.000289184499710815	99	0.0403321793086528	1	1
ENSG00000140905	chr16_1129	3	0.000364852538765582	34	0.0406304692749705	1	1
ENSG00000124588	chr6_242	3	0.00031684562577011	28	0.0406304692749705	1	1
ENSG00000111665	chr12_255	1	0.000346716593856183	32.6666666666667	0.0406304692749705	1	1
ENSG00000196998	chrX_161	11	0.000346716593856183	32.6666666666667	0.0406304692749705	1	1
ENSG00000116604	chr1_801	2	0.000333412717313647	40.5	0.0406304692749705	1	1
ENSG00000116604	chr1_779	2	0.000333412717313647	40.5	0.0406304692749705	1	1
ENSG00000116604	chr1_2532	2	0.000333412717313647	40.5	0.0406304692749705	1	1
ENSG00000084112	chr12_1219	2	0.000377073906485671	66	0.0409588803995747	1	1
ENSG00000132424	chr6_1115	0	0.000371609067261241	28	0.0409588803995747	1	1
ENSG00000085063	chr11_948	1	0.000380669880113706	22.6666666666667	0.0410133109859092	1	1
ENSG00000162910	chr1_941	8	0.000485700839450111	21.125	0.0410287180970921	1	1
ENSG00000115355	chr2_434	2	0.000515995872033023	65	0.0410287180970921	1	1
ENSG00000139178	chr12_248	2	0.000420168067226891	52	0.0410287180970921	1	1
ENSG00000115677	chr2_629	5	0.000516446845701573	18	0.0410287180970921	1	1
ENSG00000161800	chr12_333	7	0.000462385911302321	30	0.0410287180970921	1	1
ENSG00000143473	chr1_916	1	0.000582750582750582	42	0.0410287180970921	1	1
ENSG00000065357	chr12_376	2	0.000464396284829721	38.5	0.0410287180970921	1	1
ENSG00000123815	chr19_589	1	0.000515995872033023	65	0.0410287180970921	1	1
ENSG00000047346	chr15_217	3	0.000489482250149904	30.3333333333333	0.0410287180970921	1	1
ENSG00000182093	chr21_107	3	0.000575016135656867	40	0.0410287180970921	1	1
ENSG00000138119	chr10_2931	2	0.000582750582750582	42	0.0410287180970921	1	1
ENSG00000163697	chr4_1518	4	0.0004995004995005	45	0.0410287180970921	1	1
ENSG00000172046	chr3_887	2	0.00041407867494824	24	0.0410287180970921	1	1
ENSG00000196998	chrX_156	16	0.000483968542044769	35.75	0.0410287180970921	1	1
ENSG00000196998	chrX_158	16	0.000483968542044769	35.75	0.0410287180970921	1	1
ENSG00000172269	chr11_1417	0	0.000549450549450549	48	0.0410287180970921	1	1
ENSG00000172269	chr11_1418	0	0.000549450549450549	48	0.0410287180970921	1	1
