Ensembl.Gene.ID	Enhancer.grp	AE_nth	Non.spliced.without.enhancer	Spliced.without.enhancer	Non.spliced.with.enhancer	Spliced.with.enhancer	Fisher.P.value	Odds.ratio	q_fdr
ENSG00000141013	chr16_1223	0	11	4	2	8	0.0154193027325347	11	0.0557454227384041
ENSG00000105364	chr19_1296	1	6	11	6	0	0.0137299771167049	0	0.0544850779887511
ENSG00000171792	chr12_230	2	3	12	4	2	0.119582043343653	0.125	0.155076680979489
ENSG00000171792	chr12_526	1	8	18	1	0	0.333333333333333	0	0.362553052562846
ENSG00000171792	chr12_1483	2	5	14	2	0	0.1	0	0.13656219797954
ENSG00000171792	chr12_1483	1	7	18	2	0	0.102564102564103	0	0.138863349800367
ENSG00000171792	chr12_232	2	5	14	2	0	0.1	0	0.13656219797954
ENSG00000171792	chr12_232	1	7	18	2	0	0.102564102564103	0	0.138863349800367
ENSG00000171792	chr12_1479	2	5	14	2	0	0.1	0	0.13656219797954
ENSG00000171792	chr12_1479	1	7	18	2	0	0.102564102564103	0	0.138863349800367
ENSG00000171792	chr12_1480	2	5	14	2	0	0.1	0	0.13656219797954
ENSG00000171792	chr12_1480	1	7	18	2	0	0.102564102564103	0	0.138863349800367
ENSG00000171792	chr12_1376	2	5	14	2	0	0.1	0	0.13656219797954
ENSG00000171792	chr12_1376	1	7	18	2	0	0.102564102564103	0	0.138863349800367
ENSG00000171792	chr12_2	2	5	14	2	0	0.1	0	0.13656219797954
ENSG00000171792	chr12_2	1	7	18	2	0	0.102564102564103	0	0.138863349800367
ENSG00000171792	chr12_706	2	5	14	2	0	0.1	0	0.13656219797954
ENSG00000171792	chr12_706	1	7	18	2	0	0.102564102564103	0	0.138863349800367
ENSG00000171792	chr12_527	1	8	18	1	0	0.333333333333333	0	0.362553052562846
ENSG00000171792	chr12_708	2	5	14	2	0	0.1	0	0.13656219797954
ENSG00000171792	chr12_708	1	7	18	2	0	0.102564102564103	0	0.138863349800367
ENSG00000171792	chr12_707	2	5	14	2	0	0.1	0	0.13656219797954
ENSG00000171792	chr12_707	1	7	18	2	0	0.102564102564103	0	0.138863349800367
ENSG00000171792	chr12_3598	1	8	18	1	0	0.333333333333333	0	0.362553052562846
ENSG00000171792	chr12_1481	2	5	14	2	0	0.1	0	0.13656219797954
ENSG00000171792	chr12_1481	1	7	18	2	0	0.102564102564103	0	0.138863349800367
ENSG00000171792	chr12_709	2	5	14	2	0	0.1	0	0.13656219797954
ENSG00000171792	chr12_709	1	7	18	2	0	0.102564102564103	0	0.138863349800367
ENSG00000171792	chr12_1379	1	7	17	2	1	0.25025641025641	0.205882352941176	0.282046424482148
ENSG00000171792	chr12_529	2	5	14	2	0	0.1	0	0.13656219797954
ENSG00000175550	chr11_710	0	22	5	0	1	0.214285714285714	Inf	0.247707445226529
ENSG00000175550	chr11_3899	0	21	6	1	0	1	0	1
ENSG00000175550	chr11_2837	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_1788	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_382	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_1562	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_418	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_1795	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_698	0	22	5	0	1	0.214285714285714	Inf	0.247707445226529
ENSG00000175550	chr11_3749	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_407	0	18	2	4	4	0.0383500557413601	9	0.0802345744424643
ENSG00000175550	chr11_2110	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_388	0	19	4	3	2	0.285470085470086	3.16666666666667	0.315236675892414
ENSG00000175550	chr11_419	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_2844	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_1564	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_701	0	20	5	2	1	0.52991452991453	2	0.564750561871483
ENSG00000175550	chr11_3752	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_411	0	20	4	2	2	0.191452991452991	5	0.225579360221269
ENSG00000175550	chr11_1787	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_387	0	20	5	2	1	0.52991452991453	2	0.564750561871483
ENSG00000175550	chr11_2843	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_2840	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_2841	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_1792	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_3750	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_697	0	20	5	2	1	0.52991452991453	2	0.564750561871483
ENSG00000175550	chr11_1790	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_700	0	22	5	0	1	0.214285714285714	Inf	0.247707445226529
ENSG00000175550	chr11_1798	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_2112	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_2839	0	20	6	2	0	1	0	1
ENSG00000175550	chr11_395	0	19	4	3	2	0.285470085470086	3.16666666666667	0.315236675892414
ENSG00000175550	chr11_1793	0	20	6	2	0	1	0	1
